Carrier_Name,Carrier_Full_Name,Service_Type,Week_Date,Year,Month,Month_Name,Week_of_Year,Quarter,Season,Fiscal_Year,Bus_Departures,Passenger_Departures,Passengers_Per_Bus,Baseline_2019_Buses,Baseline_2019_Passengers,Bus_Recovery_Percent,Passenger_Recovery_Percent,Bus_WoW_Change,Passenger_WoW_Change,Bus_4wk_MA,Passenger_4wk_MA,Bus_12wk_MA,Passenger_12wk_MA,COVID_Period,Days_Since_Pandemic_Start,Is_COVID_Period,Economic_Period,Is_High_Inflation,Avg_Temp_F,Precipitation_Inches,Snow_Inches,Weather_Condition,Major_Weather_Event,Is_Severe_Weather,Is_Snow_Week,Is_Hot_Week,Is_Cold_Week,Is_Holiday,Is_Holiday_Season,NYC_Event,Is_Tourism_Peak
TransBridge,TransBridge Lines,Regional,12/7/2020,2020,12,December,50,4,Winter,2021,12,310,25.83333333,61,1843,-80.32786885,-83.17959848,,,12,310,12,310,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Academy,Academy Bus,Regional,12/14/2020,2020,12,December,51,4,Winter,2021,37,581,15.7027027,113,4152,-67.25663717,-86.00674374,0,-5.220228385,37,597,37,597,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
C & J Bus Lines,C&J Bus Lines (Ceased),Intercity,12/14/2020,2020,12,December,51,4,Winter,2021,1,8,8,3,55,-66.66666667,-85.45454545,0,0,1,8,1,8,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Coach USA,Coach USA Inc,Commuter,12/14/2020,2020,12,December,51,4,Winter,2021,83,1604,19.3253012,460,14129,-81.95652174,-88.64746267,0,-0.062305296,83,1604.5,83,1604.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Greyhound,Greyhound Lines,Intercity,12/14/2020,2020,12,December,51,4,Winter,2021,34,771,22.67647059,118,3262,-71.18644068,-76.36419375,3.03030303,9.829059829,33.5,736.5,33.5,736.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
HCEE - Community,HCEE Community Coach,Commuter,12/14/2020,2020,12,December,51,4,Winter,2021,75,1153,15.37333333,295,5504,-74.57627119,-79.05159884,1.351351351,-3.836530442,74.5,1176,74.5,1176,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lakeland,Lakeland Bus,Regional,12/14/2020,2020,12,December,51,4,Winter,2021,12,271,22.58333333,75,2819,-84,-90.38666194,-7.692307692,-3.214285714,12.5,275.5,12.5,275.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Martz,Martz Group,Regional,12/14/2020,2020,12,December,51,4,Winter,2021,13,466,35.84615385,47,1771,-72.34042553,-73.68718238,-7.142857143,-1.894736842,13.5,470.5,13.5,470.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
NJ Transit,NJ Transit Corporation,Commuter,12/14/2020,2020,12,December,51,4,Winter,2021,2039,26444,12.9691025,2500,86541,-18.44,-69.44338522,-7.276034561,-2.686391404,2119,26809,2119,26809,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,12/14/2020,2020,12,December,51,4,Winter,2021,9,244,27.11111111,44,1048,-79.54545455,-76.71755725,-25,-2.788844622,10.5,247.5,10.5,247.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Trailways,Trailways System,Intercity,12/14/2020,2020,12,December,51,4,Winter,2021,11,197,17.90909091,35,752,-68.57142857,-73.80319149,0,4.787234043,11,192.5,11,192.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
TransBridge,TransBridge Lines,Regional,12/14/2020,2020,12,December,51,4,Winter,2021,12,307,25.58333333,61,1843,-80.32786885,-83.34237656,0,-0.967741935,12,308.5,12,308.5,COVID-Winter-2020,274,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,Snowstorm,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Academy,Academy Bus,Regional,12/21/2020,2020,12,December,52,4,Winter,2021,31,568,18.32258065,113,4152,-72.56637168,-86.31984586,-16.21621622,-2.237521515,35,587.3333333,35,587.3333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
C & J Bus Lines,C&J Bus Lines (Ceased),Intercity,12/21/2020,2020,12,December,52,4,Winter,2021,1,6,6,3,55,-66.66666667,-89.09090909,0,-25,1,7.333333333,1,7.333333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Coach USA,Coach USA Inc,Commuter,12/21/2020,2020,12,December,52,4,Winter,2021,83,1475,17.77108434,460,14129,-81.95652174,-89.56047845,0,-8.042394015,83,1561.333333,83,1561.333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Greyhound,Greyhound Lines,Intercity,12/21/2020,2020,12,December,52,4,Winter,2021,40,1072,26.8,118,3262,-66.10169492,-67.13672594,17.64705882,39.04020752,35.66666667,848.3333333,35.66666667,848.3333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
HCEE - Community,HCEE Community Coach,Commuter,12/21/2020,2020,12,December,52,4,Winter,2021,69,1172,16.98550725,295,5504,-76.61016949,-78.70639535,-8,1.647875108,72.66666667,1174.666667,72.66666667,1174.666667,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Lakeland,Lakeland Bus,Regional,12/21/2020,2020,12,December,52,4,Winter,2021,13,263,20.23076923,75,2819,-82.66666667,-90.67045051,8.333333333,-2.95202952,12.66666667,271.3333333,12.66666667,271.3333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Martz,Martz Group,Regional,12/21/2020,2020,12,December,52,4,Winter,2021,13,487,37.46153846,47,1771,-72.34042553,-72.50141163,0,4.506437768,13.33333333,476,13.33333333,476,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
NJ Transit,NJ Transit Corporation,Commuter,12/21/2020,2020,12,December,52,4,Winter,2021,2125,25008,11.76847059,2500,86541,-15,-71.10271432,4.217753801,-5.430343367,2121,26208.66667,2121,26208.66667,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,12/21/2020,2020,12,December,52,4,Winter,2021,9,244,27.11111111,44,1048,-79.54545455,-76.71755725,0,0,10,246.3333333,10,246.3333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Trailways,Trailways System,Intercity,12/21/2020,2020,12,December,52,4,Winter,2021,11,249,22.63636364,35,752,-68.57142857,-66.88829787,0,26.39593909,11,211.3333333,11,211.3333333,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
TransBridge,TransBridge Lines,Regional,12/21/2020,2020,12,December,52,4,Winter,2021,12,340,28.33333333,61,1843,-80.32786885,-81.55181769,0,10.74918567,12,319,12,319,COVID-Winter-2020,281,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Christmas Week,TRUE
Academy,Academy Bus,Regional,12/28/2020,2020,12,December,53,4,Winter,2021,,,,113,4152,,,0,0,35,587.3333333,35,587.3333333,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
C & J Bus Lines,C&J Bus Lines (Ceased),Intercity,12/28/2020,2020,12,December,53,4,Winter,2021,1,6,6,3,55,-66.66666667,-89.09090909,0,0,1,7,1,7,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Coach USA,Coach USA Inc,Commuter,12/28/2020,2020,12,December,53,4,Winter,2021,80,1316,16.45,460,14129,-82.60869565,-90.68582348,-3.614457831,-10.77966102,82.25,1500,82.25,1500,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Greyhound,Greyhound Lines,Intercity,12/28/2020,2020,12,December,53,4,Winter,2021,36,977,27.13888889,118,3262,-69.49152542,-70.04904966,-10,-8.861940299,35.75,880.5,35.75,880.5,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
HCEE - Community,HCEE Community Coach,Commuter,12/28/2020,2020,12,December,53,4,Winter,2021,,,,295,5504,,,0,0,72.66666667,1174.666667,72.66666667,1174.666667,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Lakeland,Lakeland Bus,Regional,12/28/2020,2020,12,December,53,4,Winter,2021,12,224,18.66666667,75,2819,-84,-92.05391983,-7.692307692,-14.82889734,12.5,259.5,12.5,259.5,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Martz,Martz Group,Regional,12/28/2020,2020,12,December,53,4,Winter,2021,13,429,33,47,1771,-72.34042553,-75.77639752,0,-11.90965092,13.25,464.25,13.25,464.25,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
NJ Transit,NJ Transit Corporation,Commuter,12/28/2020,2020,12,December,53,4,Winter,2021,2001,22446,11.2173913,2500,86541,-19.96,-74.06316081,-5.835294118,-10.24472169,2091,25268,2091,25268,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,12/28/2020,2020,12,December,53,4,Winter,2021,10,275,27.5,44,1048,-77.27272727,-73.75954198,11.11111111,12.70491803,10,253.5,10,253.5,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Trailways,Trailways System,Intercity,12/28/2020,2020,12,December,53,4,Winter,2021,11,227,20.63636364,35,752,-68.57142857,-69.81382979,0,-8.835341365,11,215.25,11,215.25,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
TransBridge,TransBridge Lines,Regional,12/28/2020,2020,12,December,53,4,Winter,2021,12,224,18.66666667,61,1843,-80.32786885,-87.84590342,0,-34.11764706,12,295.25,12,295.25,COVID-Winter-2020,288,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New Year Week,TRUE
Academy,Academy Bus,Regional,1/4/2021,2021,1,January,1,1,Winter,2021,37,590,15.94594595,113,4152,-67.25663717,-85.78998073,19.35483871,3.873239437,35,579.6666667,35.5,588,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Coach USA,Coach USA Inc,Commuter,1/4/2021,2021,1,January,1,1,Winter,2021,83,1604,19.3253012,460,14129,-81.95652174,-88.64746267,3.75,21.88449848,82.25,1499.75,82.4,1520.8,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Greyhound,Greyhound Lines,Intercity,1/4/2021,2021,1,January,1,1,Winter,2021,34,900,26.47058824,118,3262,-71.18644068,-72.40956468,-5.555555556,-7.881269191,36,930,35.4,884.4,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
HCEE - Community,HCEE Community Coach,Commuter,1/4/2021,2021,1,January,1,1,Winter,2021,75,1153,15.37333333,295,5504,-74.57627119,-79.05159884,8.695652174,-1.62116041,73,1159.333333,73.25,1169.25,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Lakeland,Lakeland Bus,Regional,1/4/2021,2021,1,January,1,1,Winter,2021,12,272,22.66666667,75,2819,-84,-90.35118836,0,21.42857143,12.25,257.5,12.4,262,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Martz,Martz Group,Regional,1/4/2021,2021,1,January,1,1,Winter,2021,13,456,35.07692308,47,1771,-72.34042553,-74.25183512,0,6.293706294,13,459.5,13.2,462.6,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
NJ Transit,NJ Transit Corporation,Commuter,1/4/2021,2021,1,January,1,1,Winter,2021,2146,25865,12.0526561,2500,86541,-14.16,-70.11243226,7.246376812,15.23211263,2077.75,24940.75,2102,25387.4,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,1/4/2021,2021,1,January,1,1,Winter,2021,9,260,28.88888889,44,1048,-79.54545455,-75.19083969,-10,-5.454545455,9.25,255.75,9.8,254.8,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Trailways,Trailways System,Intercity,1/4/2021,2021,1,January,1,1,Winter,2021,10,214,21.4,35,752,-71.42857143,-71.54255319,-9.090909091,-5.726872247,10.75,221.75,10.8,215,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
TransBridge,TransBridge Lines,Regional,1/4/2021,2021,1,January,1,1,Winter,2021,12,315,26.25,61,1843,-80.32786885,-82.90830168,0,40.625,12,296.5,12,299.2,COVID-Recovery-Early,295,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Academy,Academy Bus,Regional,1/11/2021,2021,1,January,2,1,Winter,2021,37,564,15.24324324,113,4152,-67.25663717,-86.41618497,0,-4.406779661,35,574,35.8,583.2,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Coach USA,Coach USA Inc,Commuter,1/11/2021,2021,1,January,2,1,Winter,2021,84,1611,19.17857143,460,14129,-81.73913043,-88.59791917,1.204819277,0.436408978,82.5,1501.5,82.66666667,1535.833333,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Greyhound,Greyhound Lines,Intercity,1/11/2021,2021,1,January,2,1,Winter,2021,32,810,25.3125,118,3262,-72.88135593,-75.16860822,-5.882352941,-10,35.5,939.75,34.83333333,872,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
HCEE - Community,HCEE Community Coach,Commuter,1/11/2021,2021,1,January,2,1,Winter,2021,86,1145,13.31395349,295,5504,-70.84745763,-79.19694767,14.66666667,-0.693842151,76.66666667,1156.666667,75.8,1164.4,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Lakeland,Lakeland Bus,Regional,1/11/2021,2021,1,January,2,1,Winter,2021,12,276,23,75,2819,-84,-90.20929408,0,1.470588235,12.25,258.75,12.33333333,264.3333333,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Martz,Martz Group,Regional,1/11/2021,2021,1,January,2,1,Winter,2021,13,470,36.15384615,47,1771,-72.34042553,-73.46132129,0,3.070175439,13,460.5,13.16666667,463.8333333,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
NJ Transit,NJ Transit Corporation,Commuter,1/11/2021,2021,1,January,2,1,Winter,2021,2078,26156,12.58710298,2500,86541,-16.88,-69.77617545,-3.168685927,1.125072492,2087.5,24868.75,2098,25515.5,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,1/11/2021,2021,1,January,2,1,Winter,2021,9,236,26.22222222,44,1048,-79.54545455,-77.48091603,0,-9.230769231,9.25,253.75,9.666666667,251.6666667,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Trailways,Trailways System,Intercity,1/11/2021,2021,1,January,2,1,Winter,2021,10,190,19,35,752,-71.42857143,-74.73404255,0,-11.21495327,10.5,220,10.66666667,210.8333333,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
TransBridge,TransBridge Lines,Regional,1/11/2021,2021,1,January,2,1,Winter,2021,12,319,26.58333333,61,1843,-80.32786885,-82.69126424,0,1.26984127,12,299.5,12,302.5,COVID-Recovery-Early,302,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Academy,Academy Bus,Regional,1/18/2021,2021,1,January,3,1,Winter,2021,36,578,16.05555556,113,4152,-68.14159292,-86.07899807,-2.702702703,2.482269504,36.66666667,577.3333333,35.83333333,582.3333333,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Coach USA,Coach USA Inc,Commuter,1/18/2021,2021,1,January,3,1,Winter,2021,84,1540,18.33333333,460,14129,-81.73913043,-89.10043174,0,-4.407200497,82.75,1517.75,82.85714286,1536.428571,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Greyhound,Greyhound Lines,Intercity,1/18/2021,2021,1,January,3,1,Winter,2021,34,875,25.73529412,118,3262,-71.18644068,-73.17596567,6.25,8.024691358,34,890.5,34.71428571,872.4285714,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
HCEE - Community,HCEE Community Coach,Commuter,1/18/2021,2021,1,January,3,1,Winter,2021,76,1123,14.77631579,295,5504,-74.23728814,-79.59665698,-11.62790698,-1.92139738,79,1140.333333,75.83333333,1157.5,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Lakeland,Lakeland Bus,Regional,1/18/2021,2021,1,January,3,1,Winter,2021,12,268,22.33333333,75,2819,-84,-90.49308265,0,-2.898550725,12,260,12.28571429,264.8571429,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
Martz,Martz Group,Regional,1/18/2021,2021,1,January,3,1,Winter,2021,13,470,36.15384615,47,1771,-72.34042553,-73.46132129,0,0,13,456.25,13.14285714,464.7142857,COVID-Recovery-Early,309,TRUE,Early-Recovery,FALSE,33,3.5,8.8,Cold/Snowy,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE
